ID;NAME;TYPE
4;Action;movie
41;Animation;movie
42;Aventure;movie
43;Biopic;movie
44;Catastrophe;movie
45;Comédie;movie
46;Court-métrage;movie
106;Divertissement;movie
47;Documentaire;movie
48;Drame;movie
49;En cours de classement;movie
53;Epouvante-horreur;movie
140;Erotique;movie
142;Espionnage;movie
61;Famille;movie
50;Fantastique;movie
51;Guerre;movie
52;Histoire;movie
107;Humour;movie
108;Infos;movie
109;Judiciaire;movie
54;Musical;movie
112;Mystère;movie
110;Médical;movie
113;Paranormal;movie
55;Policier;movie
56;Romance;movie
57;Science-fiction;movie
58;Spectacle;movie
59;Sport;movie
62;Thriller;movie
60;Téléréalité;movie
111;Ufologie;movie
63;Western;movie
