"ROW_ID";"SERIE_TITLE";"SERIE_ROW_ID";"SEASON_NAME";"SEASON_ROW_ID";"NAME"
"1";"Close to the Enemy";"1";"Saison 1";"1";"S1 E1"
"2";"American Experience";"2";"Saison 24";"2";"S24 E1"
"3";"American Experience";"2";"Saison 25";"3";"S25 E6"
"4";"American Experience";"2";"Saison 27";"4";"S27 E8"
"5";"American Experience";"2";"Saison 27";"4";"S27 E9"
"6";"Mariés au premier regard";"3";"Saison 1";"5";"S1 E1"
"7";"Hindenburg, l'ultime odyssée - Hindenburg, le géant des airs";"4";"Saison 1";"6";"S1 E1"
"8";"Hindenburg, l'ultime odyssée - Hindenburg, le géant des airs";"4";"Saison 1";"6";"S1 E2"
"9";"Frontier";"5";"Saison 1";"7";"S1 E1"
"10";"Dirk Gently's Holistic Detective Agency (2016)";"6";"Saison 1";"8";"S1 E1"
"11";"Dirk Gently's Holistic Detective Agency (2016)";"6";"Saison 1";"8";"S1 E2"
"12";"Dirk Gently's Holistic Detective Agency (2016)";"6";"Saison 1";"8";"S1 E3"
"13";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E1"
"14";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E2"
"15";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E3"
"16";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E4"
"17";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E5"
"18";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E6"
"19";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E7"
"20";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E8"
"21";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E9"
"22";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E10"
"23";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E11"
"24";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E12"
"25";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E13"
"26";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E14"
"27";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E15"
"28";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E16"
"29";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E17"
"30";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E18"
"31";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E19"
"32";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E20"
"33";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E21"
"34";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E22"
"35";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E23"
"36";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E24"
"37";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E25"
"38";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E26"
"39";"The Crown";"8";"Saison 1";"10";"S1 E1"
"40";"The Crown";"8";"Saison 1";"10";"S1 E2"
"41";"The Crown";"8";"Saison 1";"10";"S1 E3"
"42";"The Crown";"8";"Saison 1";"10";"S1 E4"
"43";"The Crown";"8";"Saison 1";"10";"S1 E5"
"44";"The Crown";"8";"Saison 1";"10";"S1 E6"
"45";"The Crown";"8";"Saison 1";"10";"S1 E7"
"46";"The Crown";"8";"Saison 1";"10";"S1 E8"
"47";"The Crown";"8";"Saison 1";"10";"S1 E9"
"48";"The Crown";"8";"Saison 1";"10";"S1 E10"
"49";"DiCaire Show";"9";"Saison 1";"11";"S1 E1"
