"ROW_ID";"SERIE_TITLE";"SERIE_ROW_ID";"NAME"
"1";"Close to the Enemy";"1";"Saison 1"
"2";"American Experience";"2";"Saison 24"
"3";"American Experience";"2";"Saison 25"
"4";"American Experience";"2";"Saison 27"
"5";"Mariés au premier regard";"3";"Saison 1"
"6";"Hindenburg, l'ultime odyssée - Hindenburg, le géant des airs";"4";"Saison 1"
"7";"Frontier";"5";"Saison 1"
"8";"Dirk Gently's Holistic Detective Agency (2016)";"6";"Saison 1"
"9";"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1"
"10";"The Crown";"8";"Saison 1"
"11";"DiCaire Show";"9";"Saison 1"
"12";"Stan Against Evil";"10";"Saison 1"
"13";"The Moonstone";"11";"Saison 1"
"14";"People of Earth";"12";"Saison 1"
"15";"Dark Angel (2016)";"13";"Saison 1"
"16";"Talma et le mythe d’Agartha";"14";"Saison 1"
"17";"Dream Corp LLC";"15";"Saison 1"
"18";"Le Mystère Enfield";"16";"Saison 1"
"19";"Good Girls Revolt";"17";"Saison 1"
"20";"Pure Genius";"18";"Saison 1"
"21";"The Great Indoors";"19";"Saison 1"
"22";"Médicis : les Maîtres de Florence";"20";"Saison 1"
"23";"Une ambition intime";"21";"Saison 1"
"24";"Travelers";"22";"Saison 1"
"25";"Man With a Plan";"23";"Saison 1"
"26";"Goliath";"24";"Saison 1"
"27";"Class";"25";"Saison 1"
"28";"The Young Pope";"26";"Saison 1"
"29";"Robinson Crusoë (2003)";"27";"Saison 1"
"30";"Zapped!";"28";"Saison 1"
"31";"Dimanche 20h55";"29";"Saison 1"
"32";"Chance (2016)";"30";"Saison 1"
"33";"Crazyhead";"31";"Saison 1"
"34";"Dirty Laundry";"32";"Saison 1"
"35";"Him";"33";"Saison 1"
"36";"Le Meilleur pâtissier Spécial Célébrités";"34";"Saison 1"
"37";"Shoot the Messenger";"35";"Saison 1"
"38";"Tutankhamun";"36";"Saison 1"
"39";"Graves";"37";"Saison 1"
"40";"Eyewitness";"38";"Saison 1"
"41";"Sur la trace des Aliens";"39";"Saison 1"
"42";"Kim's Convenience";"40";"Saison 1"
"43";"Haters Back Off";"41";"Saison 1"
"44";"Rosehaven";"42";"Saison 1"
"45";"Channel Zero";"43";"Saison 1"
"46";"American Housewife";"44";"Saison 1"
"47";"Motherland";"45";"Saison 1"
"48";"Freakish";"46";"Saison 1"
"49";"Insecure";"47";"Saison 1"
